function_name,input_shape,output_shape,notes
WORKDAY.INTL,scalar,scalar,input:default; output:default
WRAPCOLS,scalar,spill,input:default; output:spill_list
WRAPROWS,scalar,spill,input:default; output:spill_list
XIRR,column,scalar,input:formula:B1:B12 (xirr_converges_edge_excel.json); output:default
XLOOKUP,scalar,scalar,input:default; output:default
XMATCH,scalar,scalar,input:default; output:default
XNPV,scalar,scalar,input:default; output:default
XOR,scalar,scalar,input:default; output:default
YEAR,scalar,scalar,input:default; output:default
YEARFRAC,scalar,scalar,input:default; output:default
YIELD,scalar,scalar,input:default; output:default
YIELDDISC,scalar,scalar,input:default; output:default
YIELDMAT,scalar,scalar,input:default; output:default
Z.TEST,scalar,scalar,input:default; output:default
